Name,Branch,Age,Education,Income_K,Deposit
"Morrow, Dakota",Twinsburg,42,2. HS Grad,71.1,9632.36
"Mccorvey, Requanda",Fairlawn,32,5. Advanced Degree,69.8,6997.32
"Tomson, Scott",Fairlawn,29,2. HS Grad,34.5,4519.69
"Martinez, Deanna",Stow,45,3. Some College,42.4,4802.47
"Gade, Javier",Kent,27,3. Some College,57.6,6556.06
"Saunders, Claudia",Fairlawn,54,5. Advanced Degree,191.3,24457.21
"Smith, Vincent",Twinsburg,37,1. < HS Grad,48.7,5080.12
"Tolbert, Zhane",Stow,41,2. HS Grad,67.4,7454.51
"Slater, Kurtis",Hudson,30,3. Some College,62,8514.19
"Daniels, Sunee",Hudson,50,3. Some College,112.7,13417.94
"May, Gabriel",Twinsburg,45,1. < HS Grad,34,3841.19
"Borum, Jordon",Solon,44,4. College Grad,73.1,8826.59
"Glover, Tyler",Solon,39,3. Some College,81.7,11508.53
"Willmann, Lindzey",Kent,39,4. College Grad,64.7,8606.03
"Asakawa, Anish",Twinsburg,33,4. College Grad,78.2,10752.5
"Ishii, Alexander",Stow,31,5. Advanced Degree,73.1,8949.28
"Finley, Angelina",Kent,18,1. < HS Grad,15.5,2948.22
"Provencio, Tony",Hudson,30,4. College Grad,54.9,5114.98
"Sarinana, Alexis",Fairlawn,35,2. HS Grad,66.3,7297.71
"Johnson, Kenneth",Kent,58,5. Advanced Degree,123.5,14443.2
"Jones, Jordan",Kent,28,2. HS Grad,51.9,6054.82
"Fernandez, Martin",Kent,37,3. Some College,51.2,4873.17
"Hsu, Andreanna",Twinsburg,36,3. Some College,67.1,6212.23
"Montoya, Marcos",Solon,39,5. Advanced Degree,71.8,8064.36
"Nunley, Kashmir",Akron,44,5. Advanced Degree,181.1,24512.16
"Dew-Merriex, Salina",Akron,39,1. < HS Grad,45.4,5549.69
"Gonzalez, Amanda",Akron,47,4. College Grad,74.6,7081
"Xanoubane, Zhiyuan",Twinsburg,50,4. College Grad,58.6,7125.89
"Guardipee, Kelly",Hudson,27,3. Some College,44.5,3906.69
"Lucas, Lakota",Fairlawn,39,2. HS Grad,74.5,8469.8
"Gultom, Sarah",Kent,35,2. HS Grad,37.7,4965.85
"Adams, Karin",Akron,66,5. Advanced Degree,178.5,22886.08
"Lumsden, Jeremy",Kent,53,1. < HS Grad,51.3,4602.42
"Loneeagle, Alana",Akron,42,4. College Grad,75.3,9147.79
"Hong, Amanda",Hudson,27,3. Some College,34.4,4671.66
"Voelker, Eric",Solon,51,4. College Grad,106.3,11590.88
"Matsumura, David",Fairlawn,40,5. Advanced Degree,194.8,28941.25
"Giron Lovato, Blake",Fairlawn,38,2. HS Grad,63.7,8051.92
"Tran, Emily",Stow,58,4. College Grad,75,8771.89
"Rodriguez, Abigail",Kent,50,5. Advanced Degree,52.4,6232.26
"Seth, Brandon",Akron,41,4. College Grad,73.1,7286.88
"Pomeroy, Whitney",Twinsburg,22,2. HS Grad,8.7,2010.5
"Anderson, William",Kent,58,2. HS Grad,55.4,7023.41
"Gibson, Sh-Lanta",Solon,46,4. College Grad,93.4,12927.32
"Anderson, Kendall",Kent,57,3. Some College,45.5,3992.63
"Locquiao-Rima, Liah",Fairlawn,42,1. < HS Grad,70,9077.63
"Smith, An",Akron,29,3. Some College,53.8,7325.15
"Perez, Cristina",Akron,55,2. HS Grad,40.6,3097.42
"Flores, Alejandro",Fairlawn,50,4. College Grad,63.1,5544.31
"Del Rosario, Qing",Stow,31,5. Advanced Degree,106.5,13664.03
"Roybal, Carlos",Kent,55,5. Advanced Degree,55.4,7240.74
"Szeton, Nou",Kent,45,2. HS Grad,58.6,7248.34
"Vargas Villalba, Melissa",Fairlawn,26,3. Some College,63.2,8314.95
"Medina, Danae",Akron,50,3. Some College,60,7640.38
"Lovstedt, Tristan",Akron,34,5. Advanced Degree,34.5,2439.53
"Klingelsmith, Nicholas",Twinsburg,24,4. College Grad,38.1,3166.88
"Hall, Shawnell",Twinsburg,31,3. Some College,69.3,8680.85
"Keyer, Talon",Fairlawn,54,3. Some College,56.3,7167.06
"Gallegos, Sarai",Fairlawn,30,4. College Grad,61,6116.38
"Gasca, Jessica",Akron,52,3. Some College,69.7,8429.59
"Konkel, Hannah",Stow,38,2. HS Grad,76.1,8336.06
"Nguyen, Bradley",Akron,77,2. HS Grad,46.6,6106.78
"Gallegos, Liukura",Fairlawn,38,2. HS Grad,22,1871.69
"Scott, Akilo",Fairlawn,42,4. College Grad,56.6,7938.61
"Nhin, Brandon",Fairlawn,38,4. College Grad,77.6,7403.44
"Byers, Ryan",Solon,54,2. HS Grad,45.7,4260.86
"Garcia, William",Akron,64,3. Some College,65.4,8673.96
"Verde, Dakota",Fairlawn,27,3. Some College,53.8,5367.76
"Van, Brandon",Fairlawn,29,2. HS Grad,33.5,2942.87
"Suto, Michelle",Fairlawn,28,2. HS Grad,47.7,4758.18
"Lorenzo, Nhi",Fairlawn,53,2. HS Grad,44.5,6701.68
"Flores, Juan",Akron,59,3. Some College,47.8,6589.13
"Moore III, Desiree",Stow,56,2. HS Grad,73.7,9046.44
"Vannice, Manuel",Akron,59,4. College Grad,38.8,3112.05
"Dreiling, Reagan",Akron,52,5. Advanced Degree,83.6,9481.89
"Huang, Nicholas",Fairlawn,52,5. Advanced Degree,80.3,8151.37
"Wanberg, Khristina",Solon,33,3. Some College,60.5,6760.64
"Garcia, Alexis",Akron,62,4. College Grad,166.9,23157.98
"Dowdell, Austin",Kent,36,4. College Grad,31.9,2812.16
"Luna Silva, Martin",Kent,33,5. Advanced Degree,107.9,12030.19
"Bridges, Mykala",Solon,43,4. College Grad,50.1,6236.5
"Conley, Elijah",Stow,55,4. College Grad,75.4,9270.24
"Martel, Julian",Fairlawn,28,2. HS Grad,47,3989.88
"Fernandez Portillo, Johnny",Akron,39,4. College Grad,40.5,5506.72
"Sanchez, Jeniffer",Solon,57,5. Advanced Degree,33.8,4199.8
"Prieto, Caleb",Kent,36,2. HS Grad,40.6,3829.77
"Ta, Michael",Solon,43,4. College Grad,87.6,9746.45
"Lindsay, Mouneek",Kent,45,1. < HS Grad,68.6,9343.06
"Monroy-Parra, Leopoldo",Solon,38,5. Advanced Degree,46.7,6879.59
"Hayden, Antonio",Twinsburg,33,2. HS Grad,66.8,6159.37
"Yang, Peter",Akron,57,3. Some College,79.2,8698.66
"Cruze, Antquant",Akron,39,5. Advanced Degree,26,2942.14
"Estes, Janice",Kent,26,5. Advanced Degree,105,13764.57
"Ling Chen, Khadijah",Fairlawn,44,2. HS Grad,38.1,4363.24
"Ehrlich, Azlyn",Akron,34,5. Advanced Degree,64,6158.13
"Whiteskunk, Terry",Kent,21,4. College Grad,13.5,2505.3
"Rodriguez, Justin",Fairlawn,43,1. < HS Grad,52.1,5255.51
"Ellis, Galen",Hudson,54,2. HS Grad,56.2,5309.08
"Seitz, Aric",Fairlawn,39,5. Advanced Degree,87.2,9554.95
"Knapp, Emily",Twinsburg,64,5. Advanced Degree,58.1,8155.74
"Eagle Horse, Mckenzy",Kent,47,3. Some College,85.7,9115.72
"Lucero, Grayson",Kent,47,2. HS Grad,39.6,3029.12
"Deyoung, Kristie",Fairlawn,44,2. HS Grad,72.9,8891.42
"Blackmon, Jarvis",Fairlawn,42,5. Advanced Degree,83,8743.39
"Jones, Paris",Kent,35,4. College Grad,93.3,13389.69
"Barnabas, Lameke",Kent,23,4. College Grad,60.4,6521.3
"Evans, John",Akron,49,2. HS Grad,35.1,4304.06
"Lewis, Matthew",Twinsburg,48,2. HS Grad,69.5,8424.87
"Jones, Quinn",Akron,30,3. Some College,61.1,7326.98
"Green, James",Kent,26,5. Advanced Degree,68.1,9020.32
"Boykin, Luke",Kent,19,2. HS Grad,79,8425.34
"Martin, Isaac",Akron,33,3. Some College,26.3,4366.39
"Norton, Valerie",Akron,25,2. HS Grad,39.9,4385.81
"Zerr, Pamela",Solon,40,4. College Grad,82.1,8706.54
"Mondragon, Staci",Akron,41,2. HS Grad,17,1924.67
"Loftis, Tyrin",Solon,57,2. HS Grad,48.5,6146.4
"Aust, Kourtney",Fairlawn,26,2. HS Grad,32,2787.23
"Mcneal, Triana",Solon,41,4. College Grad,104.2,12161.76
"Edd, Madeleine",Fairlawn,51,5. Advanced Degree,77.9,7555.82
"Weikal, Michelle",Fairlawn,29,5. Advanced Degree,61.7,8033.23
"Wells, Evan",Akron,40,3. Some College,52.2,5364.18
"Dalager, Delanie",Kent,30,3. Some College,61.3,6131.55
"Omar, Reuben",Hudson,58,3. Some College,70.3,8551.34
"Black, Britni",Solon,33,2. HS Grad,66.4,7564.53
"Carlson, Charlotte",Solon,60,2. HS Grad,23.4,3676.23
"Verde, Cheyenne",Hudson,28,3. Some College,61.4,6434.41
"Newsom II, Sirdushene",Stow,23,1. < HS Grad,45.1,4089.68
"Gabriel, William",Akron,26,2. HS Grad,66.9,7964.51
"Fuqua, Ari",Hudson,43,5. Advanced Degree,62.2,7402.88
"Powell, Sharon",Twinsburg,62,3. Some College,49.8,7160.23
"Duckworth, Jesse",Akron,40,5. Advanced Degree,176.8,26263.76
"Cox, Javier-Luis",Fairlawn,39,2. HS Grad,51.3,7677.97
"Lial, Sarah Anne",Twinsburg,36,4. College Grad,72.5,8343.75
"Martinez, Alex",Fairlawn,51,1. < HS Grad,35.5,5614.51
"Morales, Isaac",Fairlawn,33,2. HS Grad,48.5,6874.75
"Pena, Melanie",Solon,39,2. HS Grad,26.2,3375.63
"Fleharty, Randall",Akron,46,5. Advanced Degree,67.5,7158.15
"Hatch, Sierra",Akron,52,4. College Grad,77.1,8888.06
"Fu, Matthew",Twinsburg,35,2. HS Grad,38.5,2807.19
"Zhang, Tianna",Fairlawn,46,4. College Grad,46.1,4380.51
"Drummond, Marquise",Solon,39,2. HS Grad,20,3937.12
"Cooke, Yoanna",Fairlawn,39,5. Advanced Degree,83.9,8542.6
"Wong, Diem",Twinsburg,45,4. College Grad,190.5,28185.41
"Stephens, Randall",Fairlawn,55,2. HS Grad,62,7694.86
"Johnston, Brazjhan",Akron,26,2. HS Grad,26.4,2342.37
"Ousley, Jafari",Solon,29,4. College Grad,45.7,4899.21
"Odom, Toniosha",Stow,57,3. Some College,63.6,6055.02
"Tuvell, Madelynne",Kent,48,2. HS Grad,36.8,5476.07
"Rhoads, Merrick",Akron,37,2. HS Grad,42.5,3472.97
"Bailey, Cody",Akron,46,5. Advanced Degree,78.7,7552.52
"Whiteskunk, Paul",Kent,22,3. Some College,46.5,7069.67
"Mora, Zachery",Fairlawn,45,5. Advanced Degree,122.5,15257.72
"Ibanez, Emiliana",Fairlawn,57,3. Some College,74.6,9241.22
"Guettlein, Christian",Akron,42,2. HS Grad,49.9,4484.74
"El-Meniawi, Ashlee",Stow,24,2. HS Grad,46.8,4072.31
"Rohrbach, Shirley",Akron,59,3. Some College,65,6433.87
"Garcia, Leigha",Akron,61,4. College Grad,9.9,330.1
"Barnes, Jonathan",Kent,19,4. College Grad,46.9,7008.01
"Beck, Anna",Twinsburg,28,4. College Grad,39.6,4518.75
"Mays, Zoe",Kent,24,3. Some College,56.7,7275.15
"Lee, Christina",Kent,44,2. HS Grad,62.2,7751.46
"James, Mariko",Fairlawn,43,3. Some College,85.5,9633.46
"Dalton, Collin",Akron,52,2. HS Grad,43.3,4597.52
"Gonzales, Valerie",Akron,28,3. Some College,42.6,5414.22
"Nguyen, Marshall",Stow,63,3. Some College,75.2,8957.33
"Chavez, Senceri",Akron,32,3. Some College,102.2,11582.72
"Beltran, Gabriela",Stow,36,4. College Grad,76.2,9773.63
"Bottlemy, Sanjay",Stow,39,2. HS Grad,37.9,4122.13
"Lancelot, Sloan",Fairlawn,42,4. College Grad,176.7,26439.03
"Bush, Tanner",Kent,35,5. Advanced Degree,208.3,27191.09
"Beal, Terrell",Fairlawn,35,3. Some College,47.2,5559.17
"Rogers, Shawrae",Akron,48,2. HS Grad,78.2,9851.78
"Lopez, Junior",Akron,51,1. < HS Grad,55.3,6754.85
"Ray, Jazmyn",Twinsburg,47,3. Some College,60.4,8498.18
"Nguyen, Michael",Akron,37,3. Some College,42.6,5928.94
"Farley, Madeleine",Fairlawn,56,3. Some College,57.4,8442.32
"Hendricks, Anthony",Solon,44,1. < HS Grad,38.9,5183.09
"Johnson, Shawn",Hudson,42,2. HS Grad,44.9,5926.89
"Behera, Michael",Kent,35,5. Advanced Degree,43.6,6358.42
"Nguyen, Jimin",Fairlawn,29,3. Some College,76,9663.87
"Richardson, Robert",Fairlawn,38,2. HS Grad,52,7651.46
"Strelec, Marissa",Fairlawn,40,1. < HS Grad,69,6732.15
"Smith, Simeon",Fairlawn,28,3. Some College,41.6,4972.27
"Quintana Trujillo, Donovan",Twinsburg,55,3. Some College,61.7,7770.32
"Saucedo, Vincent",Fairlawn,45,4. College Grad,42.5,5999.03
"Sierra, Antonio",Akron,63,4. College Grad,63.2,8083.89
"Sharif, Sheldon",Fairlawn,51,5. Advanced Degree,109.4,15072.27
"Adams, Davanti",Twinsburg,26,2. HS Grad,45.2,5175.24
"Lemus-Gomez, Trevor",Twinsburg,30,3. Some College,41.1,4339.03
"Malik, Louisa",Akron,28,3. Some College,35.4,2516.74
"Cuellar, Jordan",Twinsburg,32,5. Advanced Degree,98.5,10481.86
"Gaither, Bobby",Kent,18,4. College Grad,33.3,4955.49
"Bedonie, Konray",Kent,28,5. Advanced Degree,42.4,6181.47
"Lucero-Roller, Charles",Kent,27,5. Advanced Degree,32.9,4008.11
"Jefferson, Angel",Hudson,26,2. HS Grad,66.5,5975.74
"Jones, Dominique",Hudson,32,2. HS Grad,61.4,7904.6
"Squier, Ashley",Fairlawn,50,2. HS Grad,40,3381.99
"Ra, Jessica",Hudson,41,3. Some College,66.8,9227.5
"Hoffman, Elsa",Hudson,31,4. College Grad,38.7,2832.37
"Nguyen, Joi",Kent,27,4. College Grad,190.5,24431.35
"Parker, Sandora",Akron,59,2. HS Grad,48.3,4427.85
"Moreno, Eduardo",Stow,25,1. < HS Grad,31.5,5170.51
"Mudd, Samuel",Hudson,29,1. < HS Grad,57.9,5312.57
"Gary, Asia",Hudson,39,4. College Grad,110.8,12486.17
"Lee, Andreas",Solon,48,3. Some College,50.3,6628.97
"Evans, Shakari",Stow,37,4. College Grad,105.5,11886.82
"Tolentino, Rosenda",Kent,45,2. HS Grad,56.7,5341.55
"Ledesma, Melissa",Fairlawn,51,4. College Grad,53.9,5605.06
"Rikke, Que",Akron,30,3. Some College,46,5482.26
"Ramirez, Savannah",Stow,26,2. HS Grad,40.8,5252.67
"Kwon, Long",Twinsburg,37,3. Some College,43.9,4022.37
"Tatusko, Joseph",Solon,49,3. Some College,62.6,7370.86
"Stanton, Lorelei",Akron,36,5. Advanced Degree,178,24349.96
"Ansted, Gavin",Akron,57,2. HS Grad,33.9,3438.06
"Shepherd, Vince",Twinsburg,61,2. HS Grad,64.7,8967.63
"Tesfamariam, Tyler",Kent,25,1. < HS Grad,64,6545.37
"Kellogg, Dylan",Fairlawn,44,3. Some College,63.9,5682.34
"Peterson, Morgan",Akron,66,2. HS Grad,32.5,5300.27
"Maloy, Jessica",Twinsburg,39,2. HS Grad,91.3,12573.98
"Valdez, Kimberly",Akron,50,3. Some College,70.8,7122.34
"Merlan, Ashley",Fairlawn,43,2. HS Grad,55.7,5355.17
"Adams, Karisma",Kent,34,2. HS Grad,57.1,6614.18
"Lee, Ashley",Fairlawn,56,5. Advanced Degree,63.1,8732.6
"Pizano, Cassandra",Fairlawn,56,1. < HS Grad,75.7,9158.99
"Melton, Skylar",Kent,34,2. HS Grad,39.9,3621.58
"Laughlin, Marya",Akron,59,4. College Grad,65.7,7379.57
"Bathija, Harvey",Kent,30,2. HS Grad,41.8,6046.88
"Kim, Johanna",Fairlawn,64,2. HS Grad,68.8,9496.98
"Marquez, David",Fairlawn,40,5. Advanced Degree,19.5,2834.1
"Benavides, Manuel",Kent,29,2. HS Grad,38.9,4343.44
"Kirscher, Tyler",Fairlawn,45,5. Advanced Degree,195.6,28613.06
"Pauls, Zachary",Hudson,46,3. Some College,58.4,7569.35
"Musheyev, Matthew",Akron,41,2. HS Grad,215.7,31290.79
"Higgins, Nicholas",Fairlawn,55,5. Advanced Degree,185.8,25862.92
"Naipo, Llewelgene",Stow,46,4. College Grad,61.9,8932.52
"Campbell, Chia-Hsin",Fairlawn,36,4. College Grad,66.7,5883.37
"Kusupati, Vinson",Twinsburg,24,1. < HS Grad,27.1,4590.39
"Corpuz, Jennifer",Kent,36,2. HS Grad,61,7053.96
"Skyhorse, Joshua",Kent,53,2. HS Grad,52.7,4787.31
"Martin, Olivia",Fairlawn,50,5. Advanced Degree,76.2,7820.07
"Martinez, Ashley",Stow,47,3. Some College,48.1,7165.59
"Lakatos, Joel",Fairlawn,30,1. < HS Grad,60.7,8657.95
"Grafelman, Kasey",Solon,53,2. HS Grad,33.1,4693.61
"Hernandez, Derian",Fairlawn,37,4. College Grad,84.2,11469.35
"Tokunaga-Reichert, Matthew",Fairlawn,33,1. < HS Grad,49.2,6815.02
"Valdez, Alaina",Solon,23,2. HS Grad,24.2,1753.29
"Quinteros-Renteria, Julianna",Kent,49,3. Some College,32.6,2650.25
"Forman, Joshua",Akron,65,5. Advanced Degree,176.6,25244.28
"Gibson, Camille",Kent,35,3. Some College,64.7,7576.9
"Baca, Ever",Twinsburg,41,5. Advanced Degree,79.5,10315.59
"Tran, Tuan",Solon,34,3. Some College,57.2,7472.06
"Chytka, Colton",Fairlawn,44,2. HS Grad,45.4,4869.81
"Roberts, Shanta",Stow,50,4. College Grad,63.5,8433
"House, Sarah",Akron,54,5. Advanced Degree,185,27136
"Pan, Dawa",Akron,22,3. Some College,7.5,2282.63
"Young, Raycell",Solon,44,2. HS Grad,35.9,4985.97
"Chappell, Reatea",Akron,47,5. Advanced Degree,69.4,7884.35
"Dumosch, Christian",Fairlawn,22,2. HS Grad,27.4,2796.13
"Rodriguez, Alexus",Solon,49,2. HS Grad,42,4902.15
"Kempton, Annie",Kent,27,3. Some College,58.5,6819.84
"Pineau, Fabian",Kent,44,5. Advanced Degree,118.4,16120.2
"White, Joshua",Akron,30,5. Advanced Degree,59.1,7806.71
"Eldridge, Angela",Twinsburg,39,1. < HS Grad,40.7,3728.58
"Atencio, Ezekial",Hudson,34,4. College Grad,89.6,9780.33
"Huff, Brandy",Akron,56,1. < HS Grad,30.1,4415.29
"Gandhi, Kristin",Akron,45,3. Some College,176,21655.3
"Miller, Deepak",Twinsburg,54,2. HS Grad,72.8,9156.9
"Rhone, Zachary",Twinsburg,58,2. HS Grad,37.5,4082.65
"Cardenas, Jonathan",Akron,43,2. HS Grad,74.9,8246.91
"Fernandez, Israel",Akron,36,1. < HS Grad,37.3,4549.81
"Guillen-Gallegos, Jasmine",Akron,48,5. Advanced Degree,78.3,8956.13
"De La Cruz Mendoza, Melanie",Akron,63,3. Some College,63.2,8048.46
"Tran, Meghan",Fairlawn,24,2. HS Grad,25.9,2572.83
"Smith, Chardae",Akron,29,4. College Grad,42.4,4673.29
"Acres, Leandro",Hudson,32,5. Advanced Degree,71.9,6934.9
"Uribe, Michael",Hudson,60,5. Advanced Degree,63.1,7821.48
"Thomas, Tanner",Hudson,50,2. HS Grad,59.1,6552.79
"Graham, Chakara",Fairlawn,43,2. HS Grad,73.3,10179.6
"Martinez, Lloyd",Stow,49,2. HS Grad,71.4,6565.29
"Raghuraman, Cheyenne",Akron,31,3. Some College,19.9,3188.66
"Begaye, Isaiah",Solon,43,3. Some College,74.7,7879.63
"Montoya, Brisa",Akron,73,4. College Grad,41.1,5807.08
"Dodd, Katherine",Akron,49,2. HS Grad,39,3287.73
"Devoe, Shirley",Kent,55,2. HS Grad,52.8,7491.45
"Holloway, Shenique",Akron,57,4. College Grad,81,8544.63
"Bisgard, Gabriel",Akron,38,5. Advanced Degree,120.4,15455.24
"Barger, Megan",Kent,36,3. Some College,64.4,7709.95
"Hess, Forrest",Fairlawn,27,3. Some College,59.4,6034.62
"Goodbear, Anthony",Solon,37,4. College Grad,62,9046.52
"Le, Heidi",Akron,52,4. College Grad,53.9,6318.34
"Tafoya, Brent",Stow,25,2. HS Grad,41.3,5363.5
"Tunson, Naaamorkor",Akron,63,4. College Grad,90.2,10983.74
"Dirks, Sabrina",Twinsburg,52,4. College Grad,115.3,13512.3
"Guadarrama, Daisy",Solon,24,4. College Grad,55.5,7432.71
"Ingram, Derek",Akron,55,2. HS Grad,43.6,4304.46
"Heinz, Julia",Stow,41,3. Some College,70.7,8024.19
"Murphy, Samantha",Kent,39,5. Advanced Degree,49.2,6465.13
"Wilson, Tae Woo",Fairlawn,36,5. Advanced Degree,52.1,7191.24
"Duran, Jazlyn",Kent,43,1. < HS Grad,88,9671.19
"Whalen, Tayler",Fairlawn,34,5. Advanced Degree,93.1,12525.78
"Palomino, Sterling",Akron,54,2. HS Grad,78.6,7692.73
"Adetoye, Shania",Fairlawn,53,4. College Grad,92.3,12941.23
"Mccarty, Marcos",Fairlawn,37,1. < HS Grad,48.1,4652.86
"Binns, Vanessa",Fairlawn,50,2. HS Grad,30.3,3593.6
"Duk, Saleena",Solon,60,1. < HS Grad,32.3,3478.22
"Fincher, Ilana",Kent,28,4. College Grad,53.4,7935.47
"Apodaca-Anaya, Christian",Hudson,25,3. Some College,54.3,6157.75
"Soto, Teanna",Kent,37,2. HS Grad,43.6,4072.22
"Schaller, Jared",Hudson,50,5. Advanced Degree,62.5,6662.41
"Krug-Byrd, Phillip",Akron,49,3. Some College,51.4,6111.48
"Holmes, Jeremy",Kent,41,3. Some College,55.3,7138.93
"Rangel Garcia, Angelica",Akron,46,4. College Grad,96,10063.75
"Juarez, Ana",Fairlawn,24,3. Some College,47.7,3806.7
"Lindgren, Taryn",Kent,49,2. HS Grad,51.4,4199.51
"Johnson, Diedre",Stow,59,2. HS Grad,56.7,7507.83
"Tran, Reyana",Akron,47,5. Advanced Degree,107.1,14931.02
"Saenz, Judith",Fairlawn,27,2. HS Grad,53.3,7873.38
"Smith, Cynthia",Kent,29,3. Some College,80.7,11054.67
"Hendrix, Eunique",Solon,36,4. College Grad,96.5,10449.73
"Antonio, Michael",Solon,57,2. HS Grad,85,11739.97
"Smith, Zakiya",Kent,42,4. College Grad,34,4868.62
"Boston, Melissa",Stow,40,2. HS Grad,48.2,5437.26
"Thompson, Breelyn",Kent,45,2. HS Grad,58,7292.06
"Medicine Bear, Mikaela",Fairlawn,36,2. HS Grad,53.1,6930.36
"Thomas, Dahlandre",Hudson,18,2. HS Grad,40.4,5313.95
"Worbington, Corey",Akron,62,5. Advanced Degree,58.9,6254.94
"Wetmore, Frenice",Solon,39,5. Advanced Degree,61.7,5371.73
"Tucson, Thomas",Akron,35,1. < HS Grad,27.8,3225.27
"Hood-Farley, Dakota",Akron,46,4. College Grad,81.7,11211.41
"Devereux, Holly",Fairlawn,38,4. College Grad,59.8,6918.08
"Boden, Christian",Akron,21,1. < HS Grad,12.4,2634.66
"Christian, Lupita",Kent,37,1. < HS Grad,49.6,4399.16
"Johnson, Jakob",Akron,65,3. Some College,42.2,6266.93
"Ji, Anthony",Akron,53,2. HS Grad,68.6,9717.78
"Segura, Luke",Akron,31,3. Some College,26.7,3704.2
"Miller, Tin",Kent,28,1. < HS Grad,31.3,2384.49
"Ancheta, Amarjargal",Fairlawn,38,2. HS Grad,28.9,2702.65
"Lee, Erica",Solon,27,2. HS Grad,25.1,3597.57
"Frost, Ian",Twinsburg,34,2. HS Grad,26.9,4498.11
"Sharp, Kimberly",Fairlawn,53,4. College Grad,91.7,11245.56
"Guyon, Monique",Kent,50,2. HS Grad,52.1,4445.15
"Aguirre, Jesse",Twinsburg,62,2. HS Grad,49.9,5326.22
"Chavez, Delaney",Twinsburg,40,1. < HS Grad,34.9,3656.67
"Kitchen, Jamie",Akron,33,2. HS Grad,37.6,5742.63
"Stone, Sean",Akron,48,2. HS Grad,57.3,8185.28
"Martin, Dashawna",Kent,32,4. College Grad,121.3,16812.6
"Young, Howard",Twinsburg,35,3. Some College,46.2,5096.85
"Tohtsonie, Alyssa",Kent,39,4. College Grad,49.4,4194.07
"Arroyo, Michael",Akron,32,2. HS Grad,51.7,6676.88
"Paul, Hana",Akron,60,3. Some College,39.7,5454.1
"Yang, Crystal",Twinsburg,34,5. Advanced Degree,59.1,7963.36
"Ranck, Marqece",Kent,33,3. Some College,221.5,30502.86
"Hernandez Gonzales, Jessica",Stow,47,5. Advanced Degree,67.3,6680.38
"Nolte, Katrina",Akron,40,3. Some College,44,5073.38
"Brown, Conor",Fairlawn,43,1. < HS Grad,34.5,3247.63
"Fernandez, Nicholas",Fairlawn,33,4. College Grad,71.9,8236.83
"Hadley, Akinlabi",Akron,46,5. Advanced Degree,80.1,8188.77
"Hermosillo, Cheyenne",Solon,57,2. HS Grad,44.4,6385.7
"Bui, Cassandra",Fairlawn,57,5. Advanced Degree,78.7,8375.05
"Yocum, Tam",Akron,35,3. Some College,36.5,5281.31
"Dempsey, Harry",Akron,63,5. Advanced Degree,43.7,5376.43
"Cruz Herrera, Jessica",Fairlawn,49,3. Some College,44.8,5692.55
"Pervis, Evan",Fairlawn,49,4. College Grad,26.9,3612.55
"Polk, Rogelio",Twinsburg,43,1. < HS Grad,24.5,2430.73
"Wilson, Dezhanae",Twinsburg,53,3. Some College,46.9,6375.32
"Talbott, M'Leesa",Akron,53,2. HS Grad,35.7,3456.79
"Muro, Juan",Kent,22,4. College Grad,38.2,5420.11
"Harding, Jacob",Hudson,59,4. College Grad,89.9,11757.91
"Romo, Jesus",Kent,38,2. HS Grad,42.5,4982.16
"Lopez, Darlene",Akron,35,3. Some College,52.5,7252.29
"Starks, Naazi Umaar",Akron,24,1. < HS Grad,30.3,3078.66
"Hasbrouck, Jeffrey",Akron,41,3. Some College,37.4,3420.16
"Bruce Fogg, Alaine",Kent,45,4. College Grad,46.6,5197.75
"Chasson, Maximeno",Fairlawn,37,5. Advanced Degree,88,11273.33
"Smith, Lauren",Fairlawn,38,2. HS Grad,34.9,3034.32
"Hasan, Gregory",Stow,61,2. HS Grad,55.8,4909.07
"Caldwell, David",Stow,18,1. < HS Grad,19.9,2992.57
"Garcia-Marrufo, Joshua",Fairlawn,56,3. Some College,51.8,5955.16
"Vu, Velma",Twinsburg,37,3. Some College,48.7,4155.75
"Sena Jr, Christian",Akron,41,4. College Grad,68.5,8599.64
"Small, Esther",Kent,46,2. HS Grad,83,8806.14
"Bryan, Matthew",Stow,52,4. College Grad,31.1,5086.18
"Shrestha, Ashley",Akron,53,2. HS Grad,101.4,10836.01
"Monday, Alexis",Akron,54,5. Advanced Degree,81.2,11161.69
"Garcia Rosales, Zion",Kent,28,3. Some College,74.5,9116.05
"Jefferson, Nicolette",Akron,49,3. Some College,75.2,10814.36
"Mccarty, William",Fairlawn,67,2. HS Grad,60.3,6102.53
"Simpson, Brittany",Hudson,55,1. < HS Grad,29.7,4581.32
"Lara, Austin",Twinsburg,20,2. HS Grad,20.9,2418.15
"Nguyen, Hayden",Twinsburg,34,1. < HS Grad,44.6,5682.14
"Ceja, Shai",Fairlawn,42,5. Advanced Degree,67.5,7383.32
"Wolf, James",Fairlawn,49,5. Advanced Degree,82.6,11252.35
"Alldredge, Dylan",Stow,57,4. College Grad,66.2,7771.74
"Luna, Tateh",Akron,44,3. Some College,31,2534.31
"Buckley, Trizton",Solon,40,3. Some College,42.9,6516.58
"Miller, Alysha",Hudson,22,2. HS Grad,44.4,5193.93
"Nack, Jessica",Akron,47,2. HS Grad,47.7,4422.16
"Gallegos, Halley",Hudson,35,1. < HS Grad,66.2,5928.77
"Aqeel, Vincent",Kent,51,3. Some College,63.9,6100.4
"Tang, Ellen",Akron,44,2. HS Grad,76.4,10267.27
